device_unique_id,room_number,installed_date,installer_name,installer_id,team_members,installation_type,installation_notes,withdrawn_date,withdrawer_name,withdrawer_id,withdrawal_notes,issue_at_withdrawal,storage_location,gate_pass_number,gate_pass_date,status
U001,NAC 201,10/2/2025,,,,,,,,,,,,,,
U002,NAC 202,10/2/2025,,,,,,,,,,,,,,
50-ITD-0510-0231,NAC 203,10/2/2025,,,,,,,,,,,,,,
U003,NAC 204,10/2/2025,,,,,,,,,,,,,,
50-ITD-0510-00262,NAC 205,10/2/2025,,,,,,,,,,,,,,
U004,NAC 206,10/2/2025,,,,,,,,,,,,,,
U005,NAC 207,10/2/2025,,,,,,,,,,,,,,
50-ITD-00510-00267,NAC 208,10/2/2025,,,,,,,,,,,,,,
U006,NAC 209,10/2/2025,,,,,,,,,,,,,,
50-ITD-0510-00269,NAC 210,10/2/2025,,,,,,,,,,,,,,
U007,NAC 211,10/2/2025,,,,,,,,,,,,,,
U008,NAC 211,10/2/2025,,,,,,,,,,,,,,
50-ITD-00510-00335,NAC 213,10/2/2025,,,,,,,,,,,,,,
U009,NAC 214,10/2/2025,,,,,,,,,,,,,,
U0010,NAC 215,10/2/2025,,,,,,,,,,,,,,
U0011,NAC 216,10/2/2025,,,,,,,,,,,,,,
50-ITD-00510-00338,NAC 301,10/2/2025,,,,,,,,,,,,,,
50-ITD-00510-00337,NAC 302,10/2/2025,,,,,,,,,,,,,,
U12,NAC 303,10/2/2025,,,,,,,,,,,,,,
U13,NAC 304,10/2/2025,,,,,,,,,,,,,,
U14,NAC 305,10/2/2025,,,,,,,,,,,,,,
U15,NAC 306,10/2/2025,,,,,,,,,,,,,,
50-ITD-00510-00336,NAC 307,10/2/2025,,,,,,,,,,,,,,
U16,NAC 308,10/2/2025,,,,,,,,,,,,,,
U17,NAC 309,10/2/2025,,,,,,,,,,,,,,
U18,NAC 310,10/2/2025,,,,,,,,,,,,,,
U19,NAC 311,10/2/2025,,,,,,,,,,,,,,
U20,NAC 311,10/2/2025,,,,,,,,,,,,,,
U21,NAC 313,10/2/2025,,,,,,,,,,,,,,
50-ITD-00510-00339,NAC 314,10/2/2025,,,,,,,,,,,,,,
U22,NAC 315,10/2/2025,,,,,,,,,,,,,,
50-ITD-0510-099,NAC 401,10/2/2025,,,,,,,,,,,,,,
U23,NAC 402,10/2/2025,,,,,,,,,,,,,,
U24,NAC 403,10/2/2025,,,,,,,,,,,,,,
U25,NAC 404,10/2/2025,,,,,,,,,,,,,,
U26,NAC 405,10/2/2025,,,,,,,,,,,,,,
50-ITD-00510-00340,NAC 406,10/2/2025,,,,,,,,,,,,,,
U27,NAC 407,10/2/2025,,,,,,,,,,,,,,
50-ITD-00510-00341,NAC 408,10/2/2025,,,,,,,,,,,,,,
U28,NAC 409,10/2/2025,,,,,,,,,,,,,,
U29,NAC 410,10/2/2025,,,,,,,,,,,,,,
U30,NAC 411,10/2/2025,,,,,,,,,,,,,,
U31,NAC 412,10/2/2025,,,,,,,,,,,,,,
U32,NAC 413,10/2/2025,,,,,,,,,,,,,,
U33,NAC 414,10/2/2025,,,,,,,,,,,,,,
U34,NAC 415,10/2/2025,,,,,,,,,,,,,,
U35,NAC 415,10/2/2025,,,,,,,,,,,,,,
